id,type,source,date upload,seq technology,r number,read length,error rate,mutation rate,group,complex id,species,subspecies,strain id,lineage,assembly name, assembly_version,assembly_level,genome_representation,contig_count ,scaffold_count,sequence_length,uploaded_by,data_owner,notes
Veillonella_parvula_DSM_2008,Reference,,22/05/2023 16:11,,,,,,contam,,Veillonella_parvula,N/A,DSM_2008,,48903_D01,1,Full,Full,1,1,2132142,,Malone K,
Streptococcus_sanguinis_strain_NCTC7863,Reference,,22/05/2023 16:11,,,,,,contam,,Streptococcus_sanguinis,N/A,NCTC7863,,42925_G01,1,Full,Full,1,1,2296927,,Malone K,
Streptococcus_salivarius_NCTC_8618,Reference,,22/05/2023 16:11,,,,,,contam,,Streptococcus_salivarius_,N/A,NCTC_8618,,ASM78551v1,1,Full,Full,1,1,2188923,,Malone K,
Streptococcus_pneumoniae_Hu17,Reference,,22/05/2023 16:11,,,,,,contam,,Streptococcus_pneumoniae_,N/A,Hu17,,ASM207683v1,1,Full,Full,1,1,2148350,,Malone K,
Streptococcus_parasanguinis_ATCC_15912,Reference,,22/05/2023 16:11,,,,,,contam,,Streptococcus_parasanguinis,N/A,ATCC_15912,,ASM16467v2,1,Full,Full,1,1,2153652,,Malone K,
Streptococcus_oralis_NCTC_11427,Reference,,22/05/2023 16:11,,,,,,contam,,Streptococcus_oralis_,N/A,NCTC_11427,,46338_H01,1,Full,Full,1,1,1931548,,Malone K,
Streptococcus_mitis_NCTC_12261,Reference,,22/05/2023 16:11,,,,,,contam,,Streptococcus_mitis_,N/A,NCTC_12261,,ASM14858v3,1,Full,Full,1,1,1868883,,Malone K,
Staphylococcus_aureus_NCTC_8325,Reference,,22/05/2023 16:11,,,,,,contam,,Staphylococcus_aureus,N/A,NCTC_8325,,ASM1342v1,1,Full,Full,1,1,2821361,,Malone K,
Rothia_dentocariosa_ATCC_17931,Reference,,22/05/2023 16:11,,,,,,contam,,Rothia_dentocariosa,N/A,ATCC_17931,,ASM16469v2,2,Full,Full,1,1,2506025,,Malone K,
Rhodococcus_erythropolis_R138,Reference,,22/05/2023 16:11,,,,,,contam,,Rhodococcus_erythropolis,N/A,R138,,ASM69667v2,2,Full,Full,1,1,6806506,,Malone K,
Prevotella_melaninogenica_ATCC_25845,Reference,,22/05/2023 16:11,,,,,,contam,,Prevotella_melaninogenica,N/A,ATCC_25845,,ASM14440v1,1,Full,Full,2,2,3168282,,Malone K,Has_2_chromosomes
Neisseria_meningitidis_11_7,Reference,,22/05/2023 16:11,,,,,,contam,,Neisseria_meningitidis,N/A,11_7,,ASM833080v1,1,Full,Scaffold,1,1,2157444,,Malone K,
Mycolicibacterium_vanbaalenii_PYR1_e0_r250_2023_06_06_20_54_43_,Synthetic,,07/06/2023 08:02,Illumina,,250,0,0,NTM,N/A,Mycolicibacterium_vanbaalenii,N/A,PYR1,,,,,,,,,,Bird M,
Mycolicibacterium_vanbaalenii_PYR1_e0_r150_2023_06_06_19_39_29_,Synthetic,,07/06/2023 08:02,Illumina,,150,0,0,NTM,N/A,Mycolicibacterium_vanbaalenii,N/A,PYR1,,,,,,,,,,Bird M,
Mycolicibacterium_vanbaalenii_PYR1,Reference,,05/06/2023 16:05,,,,,,NTM,N/A,Mycolicibacterium_vanbaalenii,N/A,PYR1,,,,,,,,,,Malone K,
Mycolicibacterium_vaccae_95051_95051_e0_r250_2023_06_06_20_45_29_,Synthetic,,07/06/2023 08:02,Illumina,,250,0,0,NTM,N/A,Mycolicibacterium_vaccae,N/A,95051,,,,,,,,,,Bird M,
Mycolicibacterium_vaccae_95051_95051_e0_r150_2023_06_05_22_12_35_,Synthetic,,07/06/2023 08:02,Illumina,,150,0,0,NTM,N/A,Mycolicibacterium_vaccae,N/A,95051,,,,,,,,,,Bird M,
Mycolicibacterium_vaccae_95051_95051,Reference,,05/06/2023 16:05,,,,,,NTM,N/A,Mycolicibacterium_vaccae,N/A,95051,,,,,,,,,,Malone K,
